team_abbreviation_away,team_abbreviation_home,wl_home,game_date,home_conf,away_conf,winning_conference
POR,WAS,L,2021-02-02T00:00:00Z,E,W,W
BOS,SAC,W,2021-02-03T00:00:00Z,W,E,W
LAC,CLE,L,2021-02-03T00:00:00Z,E,W,W
DAL,ATL,L,2021-02-03T00:00:00Z,E,W,W
UTA,ATL,L,2021-02-04T00:00:00Z,E,W,W
POR,PHI,L,2021-02-04T00:00:00Z,E,W,W
NOP,IND,L,2021-02-05T00:00:00Z,E,W,W
UTA,CHA,L,2021-02-05T00:00:00Z,E,W,W
DET,PHX,W,2021-02-05T00:00:00Z,W,E,W
BOS,LAC,L,2021-02-05T00:00:00Z,W,E,E
DET,LAL,W,2021-02-06T00:00:00Z,W,E,W
POR,NYK,W,2021-02-06T00:00:00Z,E,W,E
UTA,IND,L,2021-02-07T00:00:00Z,E,W,W
BOS,PHX,W,2021-02-07T00:00:00Z,W,E,W
MIL,DEN,L,2021-02-08T00:00:00Z,W,E,E
CLE,PHX,W,2021-02-08T00:00:00Z,W,E,W
HOU,CHA,W,2021-02-08T00:00:00Z,E,W,E
TOR,MEM,L,2021-02-08T00:00:00Z,W,E,E
PHI,SAC,L,2021-02-09T00:00:00Z,W,E,E
BOS,UTA,W,2021-02-09T00:00:00Z,W,E,W
ORL,POR,W,2021-02-09T00:00:00Z,W,E,W
ATL,DAL,W,2021-02-10T00:00:00Z,W,E,W
CHA,MEM,W,2021-02-10T00:00:00Z,W,E,W
NOP,CHI,W,2021-02-10T00:00:00Z,E,W,E
CLE,DEN,W,2021-02-10T00:00:00Z,W,E,W
MIL,PHX,W,2021-02-10T00:00:00Z,W,E,W
ORL,GSW,W,2021-02-11T00:00:00Z,W,E,W
MIA,HOU,L,2021-02-11T00:00:00Z,W,E,E
PHI,POR,W,2021-02-11T00:00:00Z,W,E,W
MIN,CHA,W,2021-02-12T00:00:00Z,E,W,E
MIL,UTA,W,2021-02-12T00:00:00Z,W,E,W
ORL,SAC,L,2021-02-12T00:00:00Z,W,E,E
LAC,CHI,L,2021-02-12T00:00:00Z,E,W,W
SAS,ATL,L,2021-02-12T00:00:00Z,E,W,W
CLE,POR,W,2021-02-12T00:00:00Z,W,E,W
BKN,GSW,L,2021-02-13T00:00:00Z,W,E,E
MIA,UTA,W,2021-02-13T00:00:00Z,W,E,W
HOU,NYK,W,2021-02-13T00:00:00Z,E,W,E
PHI,PHX,W,2021-02-13T00:00:00Z,W,E,W
ORL,PHX,W,2021-02-14T00:00:00Z,W,E,W
SAS,CHA,L,2021-02-14T00:00:00Z,E,W,W
NOP,DET,W,2021-02-14T00:00:00Z,E,W,E
MIN,TOR,L,2021-02-14T00:00:00Z,E,W,W
MIL,OKC,W,2021-02-14T00:00:00Z,W,E,W
CLE,LAC,W,2021-02-14T00:00:00Z,W,E,W
BKN,SAC,L,2021-02-15T00:00:00Z,W,E,E
HOU,WAS,W,2021-02-15T00:00:00Z,E,W,E
